7169	44
0	ROOT
1	nsubj
2	det
3	amod
4	prep
5	pobj
6	advmod
7	xcomp
8	dobj
9	rcmod
10	nsubjpass
11	auxpass
12	poss
13	dep
14	mark
15	nn
16	ccomp
17	appos
18	cop
19	cc
20	conj
21	aux
22	neg
23	prt
24	vmod
25	discourse
26	expl
27	tmod
28	advcl
29	pcomp
30	num
31	npadvmod
32	parataxis
33	possessive
34	csubj
35	iobj
36	predet
37	acomp
38	preconj
39	number
40	quantmod
41	mwe
42	csubjpass
43	punct
0	</s>	0
1	the	12975
2	to	7142
3	and	6584
4	i	6075
5	a	5514
6	of	5239
7	you	5203
8	<unk>	4860
9	he	4791
10	it	3604
11	that	3521
12	in	3381
13	was	3337
14	his	2443
15	n't	2304
16	's	2060
17	for	1993
18	but	1938
19	she	1873
20	said	1838
21	with	1798
22	do	1774
23	as	1761
24	is	1747
25	had	1664
26	not	1638
27	be	1484
28	at	1441
29	her	1423
30	him	1410
31	have	1404
32	on	1242
33	they	1176
34	me	1171
35	what	1136
36	so	1097
37	we	1089
38	there	991
39	this	978
40	are	967
41	mr.	923
42	would	912
43	if	909
44	all	908
45	no	896
46	did	890
47	my	856
48	were	850
49	from	827
50	will	812
51	one	795
52	david	794
53	your	744
54	about	727
55	then	708
56	an	689
57	could	677
58	'll	668
59	man	666
60	know	653
61	out	652
62	by	651
63	up	634
64	them	609
65	see	600
66	jane	591
67	been	589
68	boy	587
69	now	583
70	when	575
71	can	563
72	rodney	559
73	well	543
74	go	520
75	think	518
76	who	518
77	or	498
78	how	493
79	very	492
80	yes	491
81	like	490
82	more	486
83	little	466
84	good	448
85	get	447
86	into	439
87	time	439
88	any	434
89	father	431
90	only	423
91	tom	418
92	asked	418
93	've	414
94	some	411
95	here	409
96	victor	404
97	why	403
98	am	402
99	'm	395
100	much	388
101	way	386
102	must	385
103	come	383
104	which	365
105	us	365
106	back	359
107	eyes	349
108	make	345
109	than	339
110	after	338
111	jack	335
112	has	335
113	want	330
114	where	326
115	'd	326
116	their	324
117	before	320
118	just	319
119	got	308
120	say	308
121	came	307
122	oh	306
123	selma	304
124	over	299
125	too	296
126	upon	289
127	down	287
128	away	282
129	cried	278
130	money	278
131	going	278
132	day	278
133	never	274
134	went	274
135	right	272
136	old	271
137	're	269
138	looked	268
139	tell	266
140	made	265
141	other	264
142	again	261
143	our	260
144	dorn	260
145	tip	256
146	long	255
147	two	255
148	ca	253
149	thought	251
150	let	249
151	holly	247
152	scarecrow	242
153	should	239
154	house	239
155	something	236
156	take	236
157	himself	236
158	shall	233
159	face	231
160	look	227
161	mean	227
162	replied	222
163	head	222
164	davy	221
165	still	220
166	room	218
167	first	215
168	once	213
169	may	212
170	anything	211
171	give	208
