59623	44
0	ROOT
1	nsubj
2	det
3	amod
4	prep
5	pobj
6	advmod
7	xcomp
8	dobj
9	rcmod
10	nsubjpass
11	auxpass
12	poss
13	dep
14	mark
15	nn
16	ccomp
17	appos
18	cop
19	cc
20	conj
21	aux
22	neg
23	prt
24	vmod
25	discourse
26	expl
27	tmod
28	advcl
29	pcomp
30	num
31	npadvmod
32	parataxis
33	possessive
34	csubj
35	iobj
36	predet
37	acomp
38	preconj
39	number
40	quantmod
41	mwe
42	csubjpass
43	punct
0	</s>	0
1	the	1.46132e+06
2	and	821590
3	of	679021
4	to	673359
5	a	571697
6	i	533238
7	he	403200
8	in	392621
9	was	366209
10	it	353688
11	that	320068
12	you	312875
13	his	263408
14	had	208278
15	with	206002
16	her	200941
17	she	199969
18	for	193479
19	as	184260
20	<unk>	182013
21	but	175680
22	is	174709
23	not	172598
24	's	169514
25	at	162463
26	said	155163
27	on	143718
28	him	139998
29	my	139778
30	be	136948
31	have	135987
32	me	130431
33	they	125532
34	this	115348
35	all	108182
36	n't	106598
37	do	104316
38	were	97816
39	there	97707
40	so	97395
41	we	97355
42	by	95000
43	from	94104
44	what	91423
45	one	87974
46	no	87878
47	would	78874
48	if	78537
49	which	77936
50	are	73171
51	an	73020
52	when	71630
53	them	69039
54	then	67514
55	out	66813
56	up	66060
57	been	64048
58	could	62184
59	will	61932
60	or	60541
61	man	58359
62	your	58211
63	their	58087
64	did	57846
65	who	56973
66	now	56777
67	very	52382
68	more	51879
69	into	50305
70	about	49825
71	little	49603
72	like	47096
73	know	46618
74	see	45665
75	some	45095
76	upon	43934
77	time	43840
78	can	42723
79	well	41307
80	down	38607
81	come	38079
82	than	37738
83	how	37368
84	only	37284
85	before	37009
86	go	36682
87	never	36633
88	has	36106
89	here	35743
90	came	35405
91	mr.	35309
92	any	35241
93	over	34854
94	good	34327
95	must	34175
96	after	33816
97	other	33706
98	us	33246
99	made	32454
100	again	32426
101	back	32224
102	our	32185
103	am	32094
104	think	31727
105	two	31535
106	old	31348
107	much	31223
108	should	30978
109	went	30944
110	say	30161
111	way	30003
112	great	29292
113	'll	28726
114	where	28223
115	too	27969
116	such	27194
117	these	26866
118	day	26462
119	first	26403
120	eyes	26150
121	away	25896
122	himself	25709
123	just	25706
124	long	25690
125	thought	25648
126	its	25192
127	may	24490
128	men	24392
129	get	24290
130	looked	24256
131	own	23654
132	asked	23413
133	make	23359
134	why	23211
135	shall	23153
136	might	23043
137	hand	22935
138	face	22693
139	take	22562
140	nothing	22392
141	got	22356
142	tell	22346
143	last	22334
144	let	21987
145	saw	21919
146	through	21881
147	still	21225
148	head	21202
149	life	20815
150	even	20585
151	look	20362
152	without	20135
153	right	20052
154	sir	20012
155	young	19920
156	off	19799
157	going	19713
158	people	19539
159	once	19435
160	house	19390
161	took	19099
162	ever	18713
163	seemed	18692
164	every	18648
165	yet	18627
166	most	18618
167	thing	18516
168	mrs.	18514
169	cried	18412
170	oh	18383
171	another	18336
172	yes	18315
173	'm	18262
174	found	18099
175	night	18095
176	something	17904
177	place	17749
178	father	17688
179	many	17554
180	while	17445
181	put	17426
182	those	17374
183	always	17130
184	've	17116
185	left	17107
186	door	17043
187	things	16804
188	heard	16748
189	mother	16712
190	being	16654
191	woman	16551
192	turned	16199
193	room	16148
194	told	16108
195	knew	16088
196	want	16064
197	though	15968
198	mind	15950
199	king	15873
200	moment	15865
201	give	15711
202	same	15704
203	miss	15657
204	better	15369
205	quite	15274
206	enough	15063
207	three	14963
208	home	14784
209	done	14520
210	under	14296
211	girl	14171
212	new	13899
213	myself	13871
214	stood	13810
215	began	13778
216	dear	13773
217	replied	13723
218	love	13639
219	voice	13571
220	seen	13510
221	hands	13486
222	because	13426
223	side	13272
224	heart	13069
225	find	13067
226	soon	13008
