8159	44
0	ROOT
1	advcl
2	dep
3	cc
4	conj
5	poss
6	nn
7	prep
8	pobj
9	det
10	amod
11	nsubj
12	vmod
13	dobj
14	num
15	cop
16	tmod
17	parataxis
18	nsubjpass
19	auxpass
20	xcomp
21	rcmod
22	ccomp
23	possessive
24	advmod
25	aux
26	expl
27	mark
28	appos
29	neg
30	prt
31	discourse
32	pcomp
33	quantmod
34	number
35	npadvmod
36	csubj
37	iobj
38	predet
39	acomp
40	preconj
41	mwe
42	csubjpass
43	punct
0	</s>	0
1	the	16136
2	to	8461
3	and	8332
4	of	6761
5	a	6596
6	i	6384
7	you	5452
8	he	5440
9	<unk>	5332
10	that	4303
11	in	4129
12	it	4048
13	was	4030
14	his	2948
15	n't	2468
16	for	2384
17	's	2292
18	but	2210
19	as	2172
20	she	2167
21	with	2129
22	had	2120
23	said	1935
24	not	1916
25	do	1891
26	is	1891
27	at	1726
28	her	1714
29	be	1711
30	him	1627
31	have	1540
32	on	1460
33	they	1381
34	so	1315
35	me	1246
36	what	1233
37	we	1153
38	there	1121
39	this	1107
40	all	1085
41	would	1072
42	if	1052
43	were	1032
44	are	1024
45	mr.	1019
46	did	1013
47	no	1011
48	from	998
49	one	961
50	my	940
51	david	906
52	an	868
53	by	859
54	will	853
55	could	820
56	about	809
57	then	799
58	your	797
59	man	792
60	out	775
61	up	756
62	when	744
63	know	720
64	been	713
65	them	705
66	'll	698
67	who	684
68	see	676
69	boy	675
70	or	655
71	now	643
72	jane	628
73	can	618
74	well	607
75	rodney	573
76	more	569
77	little	567
78	like	567
79	into	559
80	go	559
81	think	558
82	how	554
83	very	551
84	time	512
85	good	502
86	yes	501
87	only	496
88	which	496
89	any	492
90	father	489
91	get	486
92	tom	473
93	some	469
94	their	455
95	way	452
96	victor	442
97	've	441
98	asked	434
99	here	430
100	much	427
101	than	420
102	why	419
103	'm	419
104	come	417
105	am	414
106	after	413
107	must	411
108	back	406
109	just	397
110	make	395
111	upon	393
112	where	393
113	us	388
114	eyes	388
115	jack	382
116	before	380
117	has	373
118	over	362
119	'd	355
120	day	349
121	came	348
122	want	345
123	down	341
124	say	339
125	got	338
126	made	334
127	away	334
128	old	331
129	too	328
130	other	319
131	selma	315
132	went	313
133	oh	311
134	money	307
135	never	307
136	going	305
137	right	303
138	dorn	302
139	tip	302
140	long	302
141	tell	301
142	two	299
143	house	299
144	scarecrow	295
145	looked	293
146	our	293
147	again	291
148	holly	287
149	thought	283
150	're	283
151	cried	282
152	himself	281
153	something	275
154	let	270
155	those	270
156	face	268
157	ca	267
158	should	266
159	take	263
160	new	260
161	even	260
162	first	260
163	look	259
164	still	259
165	head	258
166	city	257
167	its	256
168	once	250
169	found	246
170	while	243
171	davy	243
172	better	242
173	might	242
174	men	242
175	shall	241
176	room	240
177	nothing	238
178	through	237
179	work	236
